Umesh Yadav:BLR
Marcus Stoinis:PNJ
Vijay Shankar:DEL
Harbhajan Singh:CHE
Ravindra Jadeja:CHE
Jaydev Unadkat:RAJ
Mustafizur Rahman:MUM
Suresh Raina:CHE
Ben Laughlin:RAJ
Mujeeb Zadran:PNJ
AB de Villiers:BLR
Dwayne-Bravo:CHE
Mitchell Johnson:KOL
Shahbaz Nadeem:DEL
Kuldeep Yadav:KOL
Evin Lewis:MUM
Chris Morris:DEL
Sanju Samson:RAJ
Chris Gayle:PNJ
Mohit Sharma:PNJ
Shubman Gill:KOL
Andrew Tye:PNJ
Brendon McCullum:BLR
Kieron Pollard:MUM
Manish Pandey:HYD
Chris Jordan:HYD
Dinesh Karthik:KOL
Barinder Sran:PNJ
Imran Tahir:CHE
Sam Billings:CHE
Quinton de Kock:BLR
Yuzvendra Chahal:BLR
Wriddhiman Saha:HYD
D'Arcy Short:RAJ
Ben Stokes:RAJ
Robin Uthappa:KOL
Krunal Pandya:MUM
Hardik Pandya:MUM
Shane Watson:CHE
Sunil Narine:KOL
Nitish Rana:KOL
Karn-Sharma:CHE
Mohammed Shami:DEL
Sandeep Sharma:HYD
Shreyas Gopal:RAJ
Andre Russell:KOL
Daniel Christian:DEL
Bhuvneshwar Kumar:HYD
Heinrich Klaasen:RAJ
Yuvraj Singh:PNJ
Mandeep Singh:BLR
Rashid-Khan:HYD
Glenn Maxwell:DEL
Deepak Chahar:CHE
Murali Vijay:CHE
Billy Stanlake:HYD
Rohit Sharma:MUM
Lokesh Rahul:PNJ
Trent Boult:DEL
Deepak Hooda:HYD
Jasprit Bumrah:MUM
Pawan Negi:BLR
Gautam Gambhir:DEL
Rahul Tewatia:DEL
MS Dhoni:CHE
Ben Cutting:MUM
Suryakumar Yadav:MUM
Karun Nair:PNJ
Dhawal Kulkarni:RAJ
Mitchell McClenaghan:MUM
Ajinkya Rahane:RAJ
Virat Kohli:BLR
Kulwant Khejroliya:BLR
Piyush Chawla:KOL
Ambati Rayudu:CHE
Pradeep Sangwan:MUM
Shardul Thakur:CHE
Chris Woakes:BLR
Shivam Mavi:KOL
Rishabh Pant:DEL
Kane Williamson:HYD
Shakib-Al-Hasan:HYD
Tom Curran:KOL
Corey Anderson:BLR
Krishnappa Gowtham:RAJ
Axar Patel:PNJ
Rahul Tripathi:RAJ
Aaron Finch:PNJ
Sarfaraz Khan:BLR
Yusuf Pathan:HYD
Washington Sundar:BLR
Mohammed Siraj:BLR
Shikhar Dhawan:HYD
Stuart Binny:RAJ
Ishan Kishan:MUM
Jos Buttler:RAJ
Chris Lynn:KOL
Mayank Agarwal:PNJ
Siddharth Kaul:HYD
Ravichandran Ashwin:PNJ
Akila Dananjaya:MUM
Jason Roy:DEL
Shreyas Iyer:DEL
Mayank Markande:MUM
Ankit Rajpoot:PNJ
Jofra Archer:RAJ
Faf du Plessis:CHE
Ricky Bhui:HYD
Manan Vohra:BLR
Harshal Patel:DEL
